기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,NYSE,Johnson Controls International PLC,JCI,0,130.95,-9.3,9.4,19.1,63.5,34.4,1.54,
2026-03-31,NYSE,Takeda Pharmaceutical Co Ltd ADR,TAK,0,18.52,-1.2,18.8,26.5,24.5,33.8,1.19,
2026-03-31,NASDAQ,Plains All American Pipeline Units,PAA,0,22.33,6.8,24.3,30.9,11.6,33.8,-0.85,
2026-03-31,NASDAQ,Arm Holdings PLC ADR,ARM,0,151.28,18.7,38.4,6.9,41.7,33.2,-1.43,
2026-03-31,NASDAQ,CH Robinson Worldwide Inc,CHRW,0,166.07,-10.4,3.3,25.4,62.2,33.0,1.07,
2026-03-31,NASDAQ,Steel Dynamics Inc,STLD,0,180.0,-6.8,6.2,29.1,43.9,31.7,0.11,
2026-03-31,NASDAQ,Gilead Sciences Inc,GILD,0,139.37,-6.4,13.5,25.6,24.4,31.7,0.24,
2026-03-31,NYSE,Northrop Grumman Corp,NOC,0,682.24,-5.8,19.6,12.0,33.2,31.3,2.97,
2026-03-31,NASDAQ,H World Group Ltd ADR,HTHT,0,50.29,-8.2,6.9,28.6,35.9,31.1,3.82,
2026-03-31,NYSE,Nextera Energy Inc,NEE,0,92.88,-0.9,15.7,23.0,31.0,30.8,0.29,
2026-03-31,NASDAQ,Flex Ltd,FLEX,0,65.46,3.9,8.3,12.9,97.9,30.8,4.78,
2026-03-31,NYSE,Novartis AG ADR,NVS,0,152.75,-9.4,10.8,19.1,37.0,30.3,0.84,
2026-03-31,NYSE,Mizuho Financial Group Inc ADR,MFG,0,7.94,-10.5,8.5,18.5,44.1,30.1,2.77,
2026-03-31,NYSE,Williams Companies Inc,WMB,0,72.78,-2.6,21.1,14.9,21.8,30.0,-1.07,
2026-03-31,NYSE,Kinder Morgan Inc,KMI,0,33.53,0.8,22.0,18.4,17.5,29.9,-1.67,
2026-03-31,NYSE,Canadian Imperial Bank of Commerce,CM,0,94.75,-6.2,4.6,18.6,68.3,29.7,1.57,
2026-03-31,NYSE,AstraZeneca PLC,AZN,0,197.22,-5.4,7.3,28.5,34.2,29.6,3.18,
2026-03-31,NASDAQ,Walmart Inc,WMT,0,124.28,-2.9,11.6,20.6,41.6,29.3,1.22,
2026-03-31,NASDAQ,Viper Energy Inc,VNOM,0,46.99,1.0,21.6,22.9,4.1,29.1,-1.11,
2026-03-31,NYSE,Bristol-Myers Squibb Co,BMY,0,60.65,-2.8,12.4,34.5,-0.6,28.5,-1.73,
2026-03-31,NASDAQ,CSX Corp,CSX,0,41.05,-3.8,13.2,15.6,39.5,28.2,0.41,
2026-03-31,NASDAQ,Biogen Inc,BIIB,0,183.33,-4.4,4.2,30.9,34.0,27.8,-3.27,
2026-03-31,NYSE,Verizon Communications Inc,VZ,0,50.2,0.1,23.3,14.2,10.7,27.8,-1.59,
2026-03-31,NASDAQ,Advanced Micro Devices Inc,AMD,0,203.43,1.6,-5.0,25.7,98.0,27.7,6.92,
2026-03-31,NASDAQ,Marriott International Inc,MAR,0,327.07,-4.3,5.4,25.6,37.3,26.7,1.49,
2026-03-31,NYSE,TC Energy Corp,TRP,0,62.6,-2.7,13.8,15.1,32.6,26.5,1.21,
2026-03-31,NYSE,National Grid PLC ADR,NGG,0,84.6,-9.8,9.4,16.4,28.9,26.4,4.01,
2026-03-31,NYSE,HSBC Holdings PLC ADR,HSBC,0,82.49,-11.5,4.9,16.2,43.6,26.4,2.33,
2026-03-31,NASDAQ,Honeywell International Inc,HON,0,226.03,-7.2,15.9,13.9,13.3,25.9,1.51,
2026-03-31,NYSE,Parker-Hannifin Corp,PH,0,895.24,-11.3,1.9,18.1,47.3,25.6,1.43,
2026-03-31,NASDAQ,Amgen Inc,AMGN,0,351.85,-9.4,7.5,24.7,12.9,25.6,-1.11,
2026-03-31,NASDAQ,Illumina Inc,ILMN,0,123.26,-8.3,-6.0,29.8,55.4,25.3,3.34,
2026-03-31,NASDAQ,Symbotic Inc,SYM,0,53.2,-2.9,-10.6,-1.3,163.2,25.0,0.32,
2026-03-31,NYSE,Enterprise Products Partners Units,EPD,0,37.84,4.7,18.0,21.0,10.8,24.7,-0.71,
2026-03-31,NYSE,Anheuser-Busch Inbev SA ADR,BUD,0,69.37,-14.3,8.3,16.4,12.7,24.5,2.78,
2026-03-31,NASDAQ,American Electric Power Company Inc,AEP,0,131.08,-2.0,13.7,16.5,20.0,24.2,1.22,
2026-03-31,NASDAQ,Alphabet Inc Class A,GOOGL,0,287.56,-7.8,-8.1,18.3,86.0,23.7,2.86,
2026-03-31,NASDAQ,Marvell Technology Inc,MRVL,0,99.05,21.3,16.6,17.8,60.9,23.7,8.14,
2026-03-31,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,772.64,-1.2,0.1,37.4,21.8,23.7,-1.4,
2026-03-31,NYSE,RTX Corp,RTX,0,192.9,-4.8,5.2,15.3,45.6,23.3,1.72,
2026-03-31,NASDAQ,Alphabet Inc Class C,GOOG,0,286.86,-7.9,-8.6,17.8,83.6,22.7,2.65,
2026-03-31,NYSE,Sumitomo Mitsui Financial Group  Inc ADR,SMFG,0,19.75,-12.0,2.2,18.0,27.7,22.3,3.44,
2026-03-31,NYSE,McKesson Corp,MCK,0,865.36,-12.4,5.5,12.0,28.6,22.3,2.19,
2026-03-31,NYSE,Hilton Worldwide Holdings Inc,HLT,0,304.08,-2.5,5.9,17.2,33.6,21.3,0.29,
2026-03-31,NASDAQ,Ferrovial SE,FER,0,65.05,-12.5,0.7,11.0,44.8,21.3,2.18,
2026-03-31,NYSE,Amphenol Corp,APH,0,126.35,-13.5,-6.5,2.1,92.6,21.1,1.31,
2026-03-31,NASDAQ,Paccar Inc,PCAR,0,115.5,-8.4,5.5,17.5,18.6,21.0,2.44,
2026-03-31,NYSE,Toronto-Dominion Bank,TD,0,93.31,-4.2,-0.9,16.7,55.7,20.8,2.05,
2026-03-31,NASDAQ,Insmed Inc,INSM,0,163.52,9.5,-6.0,13.5,114.3,20.1,-0.67,
