기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-05-31,NASDAQ,Western Digital Corp,WDC,0,531.21,22.3,89.9,225.2,930.5,55.35,166.04,742.91,150.8,2.82,4.0
2026-05-31,NASDAQ,Tower Semiconductor Ltd,TSEM,0,255.23,15.5,104.4,136.1,547.1,77.02,104.47,460.47,126.0,-1.06,
2026-05-31,NYSE,Bloom Energy Corp,BE,0,285.0,0.6,83.1,160.9,1443.0,82.03,159.39,1434.16,122.5,-4.03,
2026-05-31,NYSE,Nokia Oyj ADR,NOK,0,14.84,14.9,92.2,144.1,184.3,67.23,112.34,147.32,120.7,9.5,
2026-05-31,NYSE,Ciena Corp,CIEN,0,580.23,10.0,66.4,184.1,624.7,51.3,158.35,558.98,119.1,-1.83,3.0
2026-05-31,NASDAQ,ON Semiconductor Corp,ON,0,120.62,19.7,81.4,140.1,187.1,51.64,100.66,139.91,111.1,0.25,9.0
2026-05-31,NYSE,ASE Technology Holding Co Ltd ADR,ASX,0,38.35,22.1,57.9,156.5,308.8,29.31,110.1,234.86,100.9,-0.47,
2026-05-31,NASDAQ,Datadog Inc,DDOG,0,247.35,87.1,120.9,54.6,109.8,18.07,-17.39,12.14,97.8,12.19,215.0
2026-05-31,NASDAQ,GlobalFoundries Inc,GFS,0,79.97,23.8,68.2,123.1,123.4,35.86,80.25,80.45,94.6,-0.05,16.0
2026-05-31,NASDAQ,Credo Technology Group Holding Ltd,CRDO,0,236.03,35.6,110.2,32.9,287.2,54.99,-2.02,185.45,86.8,-4.21,89.0
2026-05-31,NASDAQ,Lumentum Holdings Inc,LITE,0,854.96,-5.2,22.0,162.9,1082.8,28.74,177.5,1148.37,81.1,5.85,2.0
2026-05-31,NASDAQ,CrowdStrike Holdings Inc,CRWD,0,731.0,64.0,96.5,43.6,55.1,19.83,-12.45,-5.44,78.6,7.0,220.0
2026-05-31,NASDAQ,Revolution Medicines Inc,RVMD,0,157.48,9.3,54.4,102.5,299.7,41.27,85.34,265.79,78.1,3.94,8.0
2026-05-31,NASDAQ,Palo Alto Networks Inc,PANW,0,281.69,57.1,89.2,48.2,46.4,20.41,-5.69,-6.81,76.0,6.67,219.0
2026-05-31,NASDAQ,Fortinet Inc,FTNT,0,137.97,63.6,74.6,70.1,35.6,6.68,3.92,-17.16,73.9,6.65,173.0
2026-05-31,NASDAQ,NetApp Inc,NTAP,0,174.29,57.3,76.0,56.2,75.8,11.85,-0.71,11.71,70.0,3.1,
2026-05-31,NASDAQ,Qualcomm Inc,QCOM,0,251.02,39.8,76.3,49.3,72.9,26.14,6.84,23.68,69.2,-8.78,122.0
2026-05-31,NASDAQ,AST SpaceMobile Inc,ASTS,0,113.41,53.5,43.2,101.8,391.6,-6.68,31.49,220.33,65.6,-6.84,287.0
2026-05-31,NASDAQ,Lam Research Corp,LRCX,0,318.18,23.4,36.0,104.0,293.8,10.25,65.29,219.17,64.5,-0.33,49.0
2026-05-31,NASDAQ,Texas Instruments Inc,TXN,0,305.68,8.8,44.1,81.7,67.2,32.52,67.04,53.72,62.7,-4.08,26.0
2026-05-31,NYSE,Corning Inc,GLW,0,181.16,10.3,20.5,115.2,265.3,9.22,95.06,231.2,59.4,-2.46,12.0
2026-05-31,NASDAQ,Cisco Systems Inc,CSCO,0,120.42,31.6,51.5,56.5,91.0,15.15,18.92,45.15,55.5,0.76,70.0
2026-05-31,NASDAQ,NXP Semiconductors NV,NXPI,0,321.35,9.5,41.6,64.8,68.1,29.33,50.61,53.61,54.1,-3.1,43.0
2026-05-31,NASDAQ,Monolithic Power Systems Inc,MPWR,0,1566.21,-3.0,37.1,68.7,136.6,41.28,73.93,143.91,53.7,-1.52,22.0
2026-05-31,NASDAQ,Teradyne Inc,TER,0,374.31,9.0,17.0,105.8,376.2,7.32,88.83,336.98,53.3,-1.29,19.0
2026-05-31,NASDAQ,Microchip Technology Inc,MCHP,0,94.65,1.9,26.8,76.7,63.1,24.48,73.4,60.08,49.2,-3.31,50.0
2026-05-31,NYSE,Vertiv Holdings Co,VRT,0,315.71,-3.9,23.9,75.7,192.5,28.88,82.77,204.35,47.4,2.43,10.0
2026-05-31,NASDAQ,CoreWeave Inc,CRWV,0,109.53,-1.9,37.7,49.8,-1.6,40.27,52.63,0.26,46.5,13.96,164.0
2026-05-31,NASDAQ,Steel Dynamics Inc,STLD,0,260.15,13.8,34.7,55.0,111.4,18.4,36.25,85.8,44.9,0.55,39.0
2026-05-31,NASDAQ,Elbit Systems Ltd,ESLT,0,880.89,5.0,14.5,87.5,115.1,9.14,78.66,104.91,44.7,-2.59,28.0
2026-05-31,NASDAQ,Applied Materials Inc,AMAT,0,450.06,14.1,20.9,78.4,187.1,5.96,56.39,151.67,44.6,1.8,33.0
2026-05-31,NASDAQ,KLA Corp,KLAC,0,1921.71,9.8,26.1,63.5,153.9,14.81,48.91,131.26,42.7,0.95,44.0
2026-05-31,NYSE,Quanta Services Inc,PWR,0,711.73,-2.2,26.4,53.1,107.8,29.25,56.55,112.45,39.9,-3.41,20.0
2026-05-31,NYSE,Oracle Corp,ORCL,0,225.78,39.9,55.3,11.8,36.4,11.0,-20.08,-2.5,39.4,9.91,265.0
2026-05-31,NASDAQ,First Solar Inc,FSLR,0,306.79,52.0,55.6,12.4,94.1,2.38,-26.03,27.71,38.7,-1.24,
2026-05-31,NYSE,Equinor ASA ADR,EQNR,0,35.99,-11.7,20.7,57.1,53.2,36.61,77.87,73.48,38.5,3.7,17.0
2026-05-31,NASDAQ,EchoStar Corp,SATS,0,129.19,4.9,11.8,76.3,628.7,6.59,68.02,594.53,38.3,-1.37,47.0
2026-05-31,NASDAQ,Super Micro Computer Inc,SMCI,0,46.09,68.2,42.3,36.2,15.2,-15.41,-19.05,-31.53,37.3,1.71,
2026-05-31,NYSE,Cloudflare Inc,NET,0,241.82,18.0,40.4,20.8,45.8,19.04,2.38,23.56,34.8,11.99,158.0
2026-05-31,NASDAQ,Old Dominion Freight Line Inc,ODFL,0,225.15,6.0,10.9,66.4,40.6,4.62,57.02,32.63,33.6,1.5,37.0
2026-05-31,NYSE,Caterpillar Inc,CAT,0,875.87,-1.6,17.9,52.1,151.7,19.83,54.6,155.76,33.5,-1.2,29.0
2026-05-31,NASDAQ,Zoom Communications Inc,ZM,0,101.59,4.6,37.4,19.6,25.0,31.39,14.35,19.57,33.5,9.87,142.0
2026-05-31,NASDAQ,Analog Devices Inc,ADI,0,413.85,2.9,16.3,56.0,93.4,13.06,51.6,87.99,33.5,-2.7,25.0
2026-05-31,NYSE,GE Vernova Inc,GEV,0,968.32,-10.6,10.8,61.4,104.7,24.02,80.65,129.07,33.2,-1.84,14.0
2026-05-31,NASDAQ,Broadcom Inc,AVGO,0,446.77,7.0,39.8,10.9,84.6,30.63,3.59,72.44,31.5,2.95,72.0
2026-05-31,NYSE,BHP Group Ltd ADR,BHP,0,88.91,12.1,9.0,62.5,81.5,-2.78,44.89,61.87,30.1,2.6,56.0
2026-05-31,NASDAQ,Royalty Pharma PLC,RPRX,0,55.76,11.3,20.7,39.3,69.6,8.4,25.16,52.34,29.1,-1.04,52.0
2026-05-31,NYSE,Snowflake Inc,SNOW,0,255.55,87.3,51.7,1.7,24.3,-18.97,-45.68,-33.65,28.2,9.63,
2026-05-31,NASDAQ,Interactive Brokers Group Inc,IBKR,0,86.97,9.4,22.2,33.8,65.9,11.67,22.27,51.66,28.1,1.98,130.0
2026-05-31,NASDAQ,ASML Holding NV ADR,ASML,0,1612.76,12.1,11.2,52.1,118.9,-0.8,35.75,95.31,27.5,0.98,97.0
2026-05-31,NYSE,UnitedHealth Group Inc,UNH,0,380.31,2.7,29.7,15.3,26.0,26.33,12.34,22.71,26.6,-0.12,69.0
2026-05-31,NASDAQ,eBay Inc,EBAY,0,109.27,5.6,20.3,32.0,49.3,13.89,24.99,41.42,26.4,0.99,77.0
2026-05-31,NASDAQ,Amazon.com Inc,AMZN,0,270.64,2.1,28.9,16.0,32.0,26.22,13.65,29.29,26.4,-3.47,126.0
