연도,월,기준일(월말),순위,시장,종목명,종목코드,모멘텀스코어,기준가,1개월(%),3개월(%),6개월(%),12개월(%),다음달수익률(%)
2020,5,2020-05-29,281,KOSPI,현대제철,004020,-31.82,21850,1.16,-8.39,-31.18,-46.45,-6.2
2020,5,2020-05-29,282,KOSPI,제일기획,030000,-32.46,16600,-6.21,-14.21,-29.81,-37.12,-1.2
2020,5,2020-05-29,283,KOSPI,한국금융지주,071050,-32.6,52700,5.19,-16.08,-26.5,-27.21,-15.6
2020,5,2020-05-29,284,KOSPI,BNK금융지주,138930,-33.03,5080,0.59,-17.67,-27.01,-26.38,-1.6
2020,5,2020-05-29,285,KOSPI,기업은행,024110,-34.12,8280,4.81,-12.93,-29.53,-40.22,-2.4
2020,5,2020-05-29,286,KOSDAQ,디오,039840,-34.98,27300,-4.71,-17.65,-33.66,-24.9,-8.6
2020,5,2020-05-29,287,KOSPI,현대차2우B,005387,-35.17,60200,2.73,-19.63,-25.95,-29.75,-5.5
2020,5,2020-05-29,288,KOSPI,삼성엔지니어링,028050,-35.72,12100,5.22,-14.18,-35.64,-27.54,1.2
2020,5,2020-05-29,289,KOSPI,삼성중공업,010140,-39.54,4545,12.36,-17.41,-30.81,-38.66,23.6
2020,5,2020-05-29,290,KOSPI,LG디스플레이,034220,-41.84,9427,-7.7,-25.0,-30.62,-40.35,11.3
2020,5,2020-05-29,291,KOSPI,삼성생명,032830,-42.89,45700,-6.92,-21.88,-36.17,-43.44,-2.2
