기준일(월말),시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,다음달수익률(%),전달순위
2026-03-31,KOSPI,SK텔레콤,017670,175268,76400,-4.3,42.8,40.7,37.7,49.16,46.96,43.78,64.3,6.81,157.0
2026-03-31,KOSPI,기아,000270,588742,145200,-29.3,19.2,44.2,57.3,68.72,104.07,122.64,63.6,3.86,151.0
2026-03-31,KOSPI,한미약품,128940,64951,515000,-13.2,13.9,40.3,128.4,31.19,61.58,162.97,63.6,-1.55,126.0
2026-03-31,KOSPI,HD건설기계,267270,70905,125100,-11.1,27.1,34.7,90.4,42.99,51.45,114.16,62.7,18.15,193.0
2026-03-31,KOSDAQ,클로봇,466100,10209,48350,-34.8,-23.3,68.5,147.2,17.78,158.54,279.35,62.5,-15.51,18.0
2026-03-31,KOSPI,삼성물산,028260,444343,253500,-27.7,5.8,37.3,116.9,46.35,89.87,199.83,60.5,8.09,87.0
2026-03-31,KOSPI,삼성증권,016360,85013,92400,-13.5,22.5,28.9,104.2,41.64,48.95,136.02,60.1,3.03,160.0
2026-03-31,KOSDAQ,원익QnC,074600,7912,29800,-4.3,38.9,25.5,66.5,45.22,31.16,74.02,59.3,1.01,
2026-03-31,KOSDAQ,하나마이크론,067310,19166,27800,-23.2,8.0,25.5,137.6,40.58,63.43,209.4,58.2,3.78,48.0
2026-03-31,KOSPI,현대위아,011210,20559,77100,-23.9,1.8,59.3,74.4,33.82,109.3,129.19,58.0,-1.95,
2026-03-31,KOSPI,DB하이텍,000990,38197,78500,-18.0,16.1,38.2,83.6,41.57,68.49,123.86,57.7,11.85,47.0
2026-03-31,KOSPI,두산퓨얼셀,336260,22595,33400,-16.1,15.8,17.2,140.1,37.95,39.65,186.13,57.3,3.29,
2026-03-31,KOSPI,산일전기,062040,41025,134900,-19.1,3.7,22.5,162.5,28.13,51.41,224.32,56.2,-0.67,192.0
2026-03-31,KOSDAQ,코나아이,052400,7558,54500,-18.4,20.0,13.9,118.0,47.14,39.6,167.2,55.8,-4.77,139.0
2026-03-31,KOSPI,현대글로비스,086280,156000,207500,-28.3,14.9,25.5,84.6,60.3,75.03,157.56,55.7,0.24,135.0
2026-03-31,KOSPI,KCC,002380,40966,482000,-26.0,14.6,25.5,90.9,54.82,69.53,157.82,55.6,-4.36,163.0
2026-03-31,KOSDAQ,에프에스티,036810,8085,36500,-17.1,19.1,24.8,96.8,43.72,50.58,137.54,55.6,3.29,84.0
