기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-09,KOSDAQ,큐로셀,372320,8361,55600,133113,13.2,13.0,48.1,108.6,49.5,210,-0.18,30.83,84.28
2026-04-09,KOSPI,HD현대일렉트릭,267260,353261,980000,181604,17.8,10.2,12.6,218.7,49.4,133,-6.45,-4.41,170.54
2026-04-09,KOSPI,JB금융지주,175330,57040,30300,345473,2.0,20.5,35.0,77.5,48.4,196,18.14,32.35,74.02
2026-04-09,KOSPI,한국금융지주,071050,129284,232000,311573,14.6,7.7,27.3,179.5,48.4,111,-6.02,11.08,143.89
2026-04-09,KOSPI,에스엘,005850,27079,58300,124152,5.2,5.4,60.4,77.5,47.4,128,0.19,52.47,68.73
2026-04-09,KOSPI,대신증권,003540,18836,37100,89195,5.2,18.5,27.5,106.9,47.3,132,12.64,21.2,96.67
2026-04-09,KOSPI,이수페타시스,007660,86549,117900,829345,20.3,0.3,3.5,270.2,45.9,182,-16.63,-13.97,207.73
2026-04-09,KOSPI,SK,034730,246146,339500,136300,12.8,1.8,36.6,156.4,44.6,134,-9.75,21.1,127.3
2026-04-09,KOSPI,하나금융지주,086790,325919,117100,1142649,9.8,17.0,37.0,81.6,43.5,199,6.56,24.77,65.39
2026-04-09,KOSPI,BGF리테일,282330,25545,147800,58193,6.1,21.7,42.7,37.1,43.1,207,14.7,34.5,29.22
2026-04-09,KOSDAQ,LS머트리얼즈,417200,13246,19580,812059,11.1,13.0,46.1,75.6,43.0,103,1.71,31.5,58.06
2026-04-09,KOSDAQ,케어젠,214370,45281,84300,144811,-7.2,-32.8,29.9,253.5,43.0,86,-27.59,39.98,280.93
2026-04-09,KOSPI,한화에어로스페이스,012450,748184,1451000,224072,16.2,11.6,48.2,84.9,42.3,184,-3.96,27.54,59.12
2026-04-09,KOSPI,한화,000880,90849,121200,178804,13.2,5.9,26.8,151.7,41.8,115,-6.45,12.01,122.35
2026-04-09,KOSDAQ,에이비엘바이오,298380,87116,155600,356859,-6.2,-21.3,56.1,138.7,41.8,90,-16.1,66.42,154.48
2026-04-09,KOSPI,삼성증권,016360,91979,103000,402964,11.5,13.7,33.2,97.3,41.3,159,1.97,19.46,76.95
2026-04-09,KOSPI,DB손해보험,005830,112679,162400,203492,-0.9,13.9,28.1,78.1,41.2,181,14.93,29.26,79.72
2026-04-09,KOSPI,대한전선,001440,56679,30400,2147614,13.9,3.4,25.6,161.4,40.9,106,-9.22,10.27,129.5
2026-04-09,KOSPI,한화비전,489790,37108,73500,430937,3.5,18.9,45.8,22.1,40.7,126,14.88,40.87,17.97
2026-04-09,KOSPI,포스코인터내셔널,047050,130006,73900,867733,3.4,18.4,34.4,49.7,40.2,143,14.51,29.98,44.78
2026-04-09,KOSPI,신한지주,055550,458516,96600,1334538,10.1,14.6,31.8,87.9,40.1,194,4.09,19.71,70.66
2026-04-09,KOSPI,LG전자,066570,190902,117200,1188521,11.0,18.3,33.8,64.1,38.8,176,6.58,20.54,47.84
2026-04-09,KOSDAQ,원익QnC,074600,8215,31250,253055,4.9,9.6,33.3,83.8,38.7,160,4.48,27.07,75.21
2026-04-09,KOSPI,우리금융지주,316140,242979,33100,1857222,3.3,9.4,30.3,86.9,38.4,189,5.91,26.14,80.93
