기준일,시장,종목명,종목코드,시가총액,기준가,전일거래량,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,전달순위,3-1개월(%),6-1개월(%),12-1개월(%)
2026-04-15,NASDAQ,Paccar Inc,PCAR,0,123.48,2519137,6.9,0.5,25.5,36.9,9.8,97.0,-5.99,17.4,28.06
2026-04-15,NYSE,Mitsubishi UFJ Financial Group Inc ADR,MUFG,0,18.45,2401647,8.7,2.2,21.9,46.0,9.5,116.0,-5.98,12.14,34.31
2026-04-15,NYSE,Prologis Inc,PLD,0,139.77,2969931,5.7,7.1,12.6,36.8,9.4,113.0,1.32,6.53,29.42
2026-04-15,NASDAQ,CoreWeave Inc,CRWV,0,118.69,42867755,53.2,27.4,-11.2,187.4,9.3,222.0,-16.84,-42.04,87.6
2026-04-15,NYSE,Eaton Corporation PLC,ETN,0,395.06,2263509,10.5,12.4,3.5,34.2,9.1,120.0,1.72,-6.33,21.45
2026-04-15,NYSE,Altria Group Inc,MO,0,64.42,5750796,-2.4,3.9,14.3,8.9,8.7,103.0,6.45,17.11,11.58
2026-04-15,NYSE,Union Pacific Corp,UNP,0,248.03,2971223,2.2,5.5,12.6,15.0,8.6,130.0,3.23,10.18,12.52
2026-04-15,NASDAQ,Ferrovial SE,FER,0,71.29,1183905,9.6,4.9,15.5,43.6,8.6,126.0,-4.29,5.38,31.02
2026-04-15,NYSE,Morgan Stanley,MS,0,191.62,8360463,16.4,4.8,16.8,66.0,8.5,178.0,-9.97,0.34,42.61
2026-04-15,NYSE,National Grid PLC ADR,NGG,0,87.86,576248,3.9,3.0,16.8,20.4,8.4,87.0,-0.87,12.42,15.88
2026-04-15,NASDAQ,Amgen Inc,AMGN,0,348.22,1955598,-1.0,1.9,16.7,19.7,8.1,78.0,2.93,17.88,20.91
2026-04-15,NASDAQ,Cisco Systems Inc,CSCO,0,82.36,13443321,6.1,5.2,12.7,42.7,8.1,127.0,-0.85,6.22,34.5
2026-04-15,NASDAQ,Interactive Brokers Group Inc,IBKR,0,79.69,5014826,18.8,6.4,13.3,85.5,7.9,142.0,-10.44,-4.63,56.14
2026-04-15,NYSE,US Bancorp,USB,0,56.37,11344660,8.4,0.5,20.8,39.7,7.8,152.0,-7.29,11.44,28.87
2026-04-15,NASDAQ,Warner Bros Discovery Inc,WBD,0,27.2,12390794,-0.9,-1.2,21.2,213.7,7.7,90.0,-0.3,22.3,216.55
2026-04-15,NASDAQ,Regeneron Pharmaceuticals Inc,REGN,0,753.93,556405,-2.4,1.7,15.7,25.9,7.7,82.0,4.2,18.55,29.0
2026-04-15,NYSE,Nextera Energy Inc,NEE,0,91.24,9140704,-1.8,3.8,12.1,36.4,7.7,66.0,5.7,14.15,38.9
2026-04-15,NYSE,PNC Financial Services Group Inc,PNC,0,222.06,2341893,6.7,-0.6,21.6,38.2,7.6,155.0,-6.84,13.96,29.52
2026-04-15,NASDAQ,Honeywell International Inc,HON,0,232.19,3476297,2.7,2.1,15.3,17.0,7.3,69.0,-0.58,12.27,13.92
2026-04-15,NASDAQ,Biogen Inc,BIIB,0,180.54,1168668,-1.5,0.4,17.0,49.1,7.2,80.0,1.93,18.78,51.37
2026-04-15,NYSE,Verizon Communications Inc,VZ,0,45.03,25664535,-10.3,1.1,13.3,2.2,7.2,59.0,12.71,26.31,13.94
2026-04-15,NYSE,Trane Technologies PLC,TT,0,462.56,1274820,11.0,10.0,3.1,20.7,7.1,129.0,-0.9,-7.12,8.74
2026-04-15,NASDAQ,Airbnb Inc,ABNB,0,137.51,3557827,8.9,6.3,8.7,12.8,7.0,175.0,-2.39,-0.18,3.58
2026-04-15,NYSE,Lockheed Martin Corp,LMT,0,611.1,670973,1.1,-3.6,24.2,27.9,7.0,48.0,-4.65,22.85,26.51
