단축코드,액면가
203400,500
041020,500
005950,5000
032620,500
039570,500
049080,500
213500,5000
270660,500
187870,500
473980,500
005960,5000
004090,500
001080,100
003610,500
439090,100
474610,100
008490,500
106190,500
004710,1000
461300,500
011560,500
118990,500
380540,100
131030,500
377450,100
000520,500
003555,5000
033530,500
003650,5000
289080,500
234080,2500
102120,500
083930,500
307750,100
293780,500
260870,500
011690,11690
417010,500
140670,500
0007J0,500
060150,500
487570,5000
452450,100
100250,500
489500,100
271980,500
123410,100
101530,500
114840,500
046440,500
002100,500
002990,5000
006060,500
357880,500
003460,1000
0011A0,500
016580,500
232680,500
001520,500
054450,500
049430,500
458650,500
365330,500
008830,500
081000,1000
001045,5000
086890,500
009070,500
039860,500
122990,500
101970,500
0004V0,1000
203650,100
282720,500
082800,2500
016790,100
017550,500
143160,500
146320,500
259630,500
015230,500
125020,500
042420,500
052330,500
400760,0
071840,5000
031440,5000
067000,500
140610,500
102460,500
047310,500
264660,500
300080,500
004960,5000
272550,5000
242040,100
005430,5000
143240,500
002230,500
092130,500
097955,5000
192410,200
005160,1000
323990,500
000860,500
334970,500
037560,2500
048870,500
047770,500
220260,100
108230,500
235980,500
068790,500
290690,500
002170,5000
038390,500
148150,500
340450,500
264850,100
217270,500
086980,500
357580,500
119830,500
011785,5000
012610,500
025820,500
038290,500
000300,500
267320,100
488280,500
322510,100
044820,500
229500,500
016450,500
037030,1000
418420,100
293580,500
023910,500
007330,1000
115440,500
090350,500
214390,500
009580,2500
101170,500
317400,1000
322180,100
462520,500
025620,500
012200,500
417840,500
307180,100
260970,500
001360,500
037070,500
138360,500
460850,5000
293480,500
011040,500
000700,2500
156100,500
100590,500
475580,200
054800,500
067280,500
069510,500
066620,500
333430,100
036710,500
214420,200
033340,500
408470,500
000020,1000
037350,500
282880,500
092190,500
355150,500
469610,500
032940,500
00279K,500
005860,500
192440,500
256940,500
003830,5000
089470,500
417500,100
210540,500
040300,1000
000970,500
027710,500
126730,500
011280,500
041440,500
129920,100
246710,500
009270,500
234030,100
023600,500
051980,500
038110,500
066410,500
046070,500
445180,500
013990,500
065450,200
182360,500
080420,500
078000,500
290740,500
086670,500
107600,500
456070,500
250060,100
053080,500
047560,500
062970,500
004970,500
389030,500
071200,500
095190,500
158430,100
147830,500
014280,1000
027970,1000
217820,500
007540,1000
093190,500
255440,500
321370,500
453450,200
104460,500
336680,500
464490,500
107590,500
149950,500
476040,500
408920,100
072870,500
083500,500
297890,500
263720,500
125210,500
029480,500
079810,500
004250,500
024800,500
005990,500
350520,0
002780,500
054620,500
070960,5000
298000,5000
306620,100
360070,500
049720,500
053700,500
015890,500
03473K,200
021080,500
331740,500
095270,500
021320,5000
006620,500
090850,500
021820,500
204610,100
017510,500
225530,500
079430,1000
003480,5000
004140,1000
065530,500
008040,500
073010,500
013520,500
094280,500
054920,500
0015S0,500
024090,500
083420,500
310200,100
054540,500
002390,500
049960,500
093640,500
109610,500
396270,500
123040,500
100130,500
004150,1000
122450,500
131370,100
136540,500
025950,500
011700,500
063570,500
363280,500
012800,500
136150,500
014160,500
090470,500
217950,500
052420,500
003100,1000
331920,500
014530,500
226400,500
016710,1000
105330,500
040160,500
000440,500
035000,1000
214680,100
005800,500
215790,500
092040,500
012320,5000
049520,500
085670,500
089600,500
382840,100
003310,500
215100,100
240550,500
096250,500
067990,500
010100,1000
007210,500
269620,100
413630,100
004080,500
023900,500
267290,2500
123690,500
489460,500
020120,500
109740,500
016740,2500
265740,100
002620,500
077500,500
228670,500
019180,500
013570,500
014790,5000
100700,100
067900,500
205100,100
035080,2500
307930,500
225190,100
054050,500
166480,500
014710,1000
141000,500
019680,500
095720,500
059120,500
005870,5000
088130,500
309960,1000
251120,500
366030,100
045970,500
071280,500
002460,5000
036690,500
063080,500
014580,500
139990,500
248170,500
120030,500
052260,500
063170,500
463020,500
036580,500
041520,500
049950,500
036010,500
066310,500
067830,1000
337930,500
009780,500
074430,100
004100,500
007110,500
0015N0,500
036220,500
032300,500
001020,500
014970,500
015590,500
290720,500
086710,500
038540,1000
023800,500
065440,500
013310,500
417970,500
018120,500
051160,500
493330,100
37550L,5000
209640,500
099750,500
396470,100
389140,500
115500,500
388870,500
034590,5000
059210,500
026150,500
084670,5000
267850,500
294630,500
298540,500
443670,100
053580,500
001290,1000
263860,500
109080,500
041590,500
317770,500
044990,500
024880,500
432470,100
223250,500
008700,500
033290,500
056360,500
010660,500
073560,500
053260,500
000230,1000
418470,500
048530,500
086960,200
046210,500
381620,100
036420,5000
079980,5000
024740,500
002200,500
047820,5000
950130,0
096240,500
067290,500
072950,500
078140,500
339950,100
305090,500
096350,500
058850,500
448710,100
227840,5000
002220,500
278650,100
048550,500
424960,500
330350,200
006840,5000
078890,500
013360,500
038460,500
452190,100
039340,500
238090,500
439580,100
002450,500
446540,500
205470,100
088390,500
011810,2500
001560,500
030960,500
330730,500
142210,500
081180,500
066700,500
308080,500
008260,500
036630,5000
208370,500
101330,500
001275,5000
149980,100
003580,500
039980,500
412350,500
175140,500
264900,200
059270,500
124560,100
091120,500
348080,500
054670,500
017370,500
101670,200
348150,500
023450,500
039610,500
163730,500
362320,500
303810,500
317830,100
396300,100
004840,500
187790,500
105740,500
172670,500
323350,100
011370,500
370090,500
001540,500
377480,500
173130,500
137950,500
950190,0
277880,500
163560,500
032560,500
315640,500
060560,100
063160,2500
006140,500
117670,500
007460,500
002720,1000
205500,500
004650,500
009300,1000
460940,500
039830,500
357230,500
040910,500
191420,500
311690,500
451220,500
120240,500
299170,100
348350,500
119650,500
083790,500
005740,500
000180,500
153460,500
006890,500
352090,100
201490,500
042510,2500
382480,100
246720,500
058630,500
012700,500
002700,500
078935,5000
066590,500
091440,500
228850,500
041930,500
004060,500
019550,500
004440,1000
000105,1000
007980,500
035610,500
128660,500
001260,5000
043610,500
058860,500
011150,500
082850,500
058400,500
443250,500
066790,500
382150,500
068240,500
265560,500
33626K,100
411080,100
006660,500
0010F0,500
413390,500
005750,1000
033320,500
010960,500
093920,500
311320,500
396690,0
013870,500
105550,500
036090,500
060570,500
088280,1000
109070,500
214270,500
084650,500
241690,500
033130,500
019540,500
261780,500
040420,500
085310,500
048910,500
084730,500
126880,500
007820,500
461030,100
217330,500
089230,1000
290660,500
014440,500
031820,500
007280,500
159010,500
023000,500
234300,500
302550,100
041910,500
042500,500
020710,500
014950,100
067570,500
110790,500
347860,500
347890,100
024830,500
419050,100
004890,5000
032850,500
065510,500
104040,100
340360,100
009180,500
044340,500
212560,500
338100,0
060590,500
131400,500
203690,500
068290,500
071090,500
360350,500
006880,500
214260,500
453860,500
000590,590
048430,500
373200,100
024840,500
290670,500
222040,500
072020,500
054040,500
451250,500
081150,500
096775,5000
296160,500
035460,500
038680,500
009200,2500
463480,200
033230,500
016250,5000
025550,500
099220,500
130580,500
214330,500
002600,5000
101140,500
263600,500
053280,500
251630,500
170030,500
094840,500
002800,500
076610,500
102370,500
111380,100
019990,500
046940,500
950220,0
036640,500
071670,500
216050,500
376930,500
273640,500
049180,500
261520,100
180060,500
014470,500
183490,500
052860,500
207760,100
037440,500
217500,100
004720,500
012690,500
053050,500
054930,5000
478560,100
458350,500
111710,200
064800,100
208140,100
010040,500
175250,500
100220,500
412540,500
001550,5000
007590,500
013700,500
187420,500
347000,500
055490,500
227950,100
459100,500
900250,1
027830,500
089850,500
378800,500
000725,5000
045660,500
142280,500
136410,500
009770,5000
204840,100
120115,5000
052900,500
023810,500
001470,1000
452400,500
072130,500
222160,500
321260,100
391710,100
061250,500
011320,500
060310,500
000850,5000
317870,500
011390,5000
192250,1000
041460,500
217190,500
475430,500
094940,500
163280,100
006090,5000
004540,1000
037760,500
215360,500
043710,500
417790,100
017650,500
294140,500
253840,500
053450,500
226330,500
331380,100
260930,500
039010,500
069730,500
246960,500
039240,100
153710,500
212710,500
072990,500
004590,100
306040,500
263800,500
016090,500
058730,500
171120,500
003925,500
424980,500
066980,500
317850,500
018500,500
0013V0,500
900260,1
037230,500
262260,500
134580,500
123420,500
241790,500
408900,100
003010,500
291650,500
003780,500
043650,500
017480,500
104620,500
010280,500
317690,500
159580,500
039020,1000
299660,500
168330,500
321820,500
061040,500
002795,500
234100,100
129260,500
435570,500
047400,500
027050,500
042940,5000
299900,500
162300,100
004830,500
140070,100
219550,100
036000,500
012790,500
094850,500
024910,500
307870,100
198440,100
042110,500
065170,500
006980,5000
052220,500
066430,500
000220,1000
234920,500
001620,500
155660,500
033310,500
095910,500
067920,500
222110,500
104540,500
010470,1000
002140,1000
127710,500
078590,500
040610,500
036670,500
317530,500
024900,500
065500,500
039420,500
036120,500
446840,100
