종목코드,종목명,시장구분,시가총액(억)
009160,SIMPAC,KOSPI,3543
001230,동국홀딩스,KOSPI,3542
462350,이노스페이스,KOSDAQ,3537
136480,하림,KOSDAQ,3531
093520,매커스,KOSDAQ,3526
001340,PKC,KOSPI,3508
036200,유니셈,KOSDAQ,3507
094480,갤럭시아머니트리,KOSDAQ,3491
365270,큐라클,KOSDAQ,3486
265520,AP시스템,KOSDAQ,3484
200470,에이팩트,KOSDAQ,3473
078520,에이블씨엔씨,KOSPI,3462
064850,에프앤가이드,KOSDAQ,3451
272450,진에어,KOSPI,3434
099430,바이오플러스,KOSDAQ,3433
200130,콜마비앤에이치,KOSDAQ GLOBAL,3426
286940,롯데이노베이트,KOSPI,3426
049630,재영솔루텍,KOSDAQ,3425
043150,바텍,KOSDAQ,3423
065680,우주일렉트로,KOSDAQ,3400
095500,미래나노텍,KOSDAQ,3380
018000,유니슨,KOSDAQ,3379
474650,링크솔루션,KOSDAQ,3370
445090,에이직랜드,KOSDAQ,3354
060720,KH바텍,KOSDAQ,3343
160980,싸이맥스,KOSDAQ,3342
003720,삼영,KOSPI,3335
088260,이리츠코크렙,KOSPI,3319
012210,삼미금속,KOSDAQ,3306
123890,한국자산신탁,KOSPI,3291
051500,CJ프레시웨이,KOSDAQ,3288
900140,엘브이엠씨홀딩스,KOSPI,3285
151860,KG에코솔루션,KOSDAQ,3284
051370,인터플렉스,KOSDAQ,3284
232530,이엠티,KONEX,3278
456010,아이씨티케이,KOSDAQ,3273
037270,YG PLUS,KOSPI,3272
003520,영진약품,KOSPI,3270
033270,유나이티드제약,KOSPI,3261
001250,GS글로벌,KOSPI,3260
274090,켄코아에어로스페이스,KOSDAQ,3259
067390,아스트,KOSDAQ,3256
322310,오로스테크놀로지,KOSDAQ,3240
092460,한라IMS,KOSDAQ,3233
023410,유진기업,KOSDAQ,3227
024720,콜마홀딩스,KOSPI,3223
054210,이랜텍,KOSDAQ,3217
215000,골프존,KOSDAQ GLOBAL,3213
451760,컨텍,KOSDAQ,3210
006805,미래에셋증권우,KOSPI,3202
243070,휴온스,KOSDAQ,3198
045390,대아티아이,KOSDAQ,3178
472850,폰드그룹,KOSDAQ,3160
001460,BYC,KOSPI,3160
092730,네오팜,KOSDAQ,3157
448280,에코아이,KOSDAQ,3152
044450,KSS해운,KOSPI,3148
049070,인탑스,KOSDAQ,3147
128820,대성산업,KOSPI,3139
035600,KG이니시스,KOSDAQ,3132
008350,남선알미늄,KOSPI,3130
272110,케이엔제이,KOSDAQ,3129
304100,솔트룩스,KOSDAQ,3123
475560,더본코리아,KOSPI,3121
003920,남양유업,KOSPI,3114
003120,일성아이에스,KOSPI,3112
017390,서울가스,KOSPI,3098
357550,석경에이티,KOSDAQ,3082
053690,한미글로벌,KOSPI,3079
096760,JW홀딩스,KOSPI,3075
115450,HLB테라퓨틱스,KOSDAQ,3073
023760,한국캐피탈,KOSDAQ,3067
000650,천일고속,KOSPI,3065
251370,와이엠티,KOSDAQ,3052
138610,나이벡,KOSDAQ,3046
036800,나이스정보통신,KOSDAQ,3030
294570,쿠콘,KOSDAQ,3027
037710,광주신세계,KOSPI,3023
054950,제이브이엠,KOSDAQ,3022
003960,사조대림,KOSPI,3019
002900,TYM,KOSPI,3018
005680,삼영전자,KOSPI,3012
452430,사피엔반도체,KOSDAQ,3011
464080,에스오에스랩,KOSDAQ,3011
003070,코오롱글로벌,KOSPI,3000
002320,한진,KOSPI,2995
078070,유비쿼스홀딩스,KOSDAQ,2989
009470,삼화전기,KOSPI,2986
108380,대양전기공업,KOSDAQ,2980
334890,이지스밸류플러스리츠,KOSPI,2979
226590,엠디바이스,KOSDAQ,2976
361390,제노코,KOSDAQ,2970
0007C0,아크릴,KOSDAQ,2967
004360,세방,KOSPI,2962
099440,스맥,KOSDAQ,2961
000320,노루홀딩스,KOSPI,2957
092200,디아이씨,KOSPI,2943
061970,LB세미콘,KOSDAQ,2933
459510,나우로보틱스,KOSDAQ,2933
000490,대동,KOSPI,2931
194480,데브시스터즈,KOSDAQ,2929
372170,윤성에프앤씨,KOSDAQ,2908
144960,뉴파워프라즈마,KOSDAQ,2901
255220,SG,KOSDAQ,2897
098120,마이크로컨텍솔,KOSDAQ,2896
083310,엘오티베큠,KOSDAQ,2892
126700,하이비젼시스템,KOSDAQ,2885
377190,디앤디플랫폼리츠,KOSPI,2881
058430,포스코스틸리온,KOSPI,2880
000540,흥국화재,KOSPI,2874
02826K,삼성물산우B,KOSPI,2861
005010,휴스틸,KOSPI,2859
086820,바이오솔루션,KOSDAQ,2856
064550,바이오니아,KOSDAQ,2854
003200,일신방직,KOSPI,2853
432720,퀄리타스반도체,KOSDAQ,2852
034120,SBS,KOSPI,2842
108670,LX하우시스,KOSPI,2838
000680,LS네트웍스,KOSPI,2829
404990,신한서부티엔디리츠,KOSPI,2824
053300,한국정보인증,KOSDAQ,2822
094820,일진파워,KOSDAQ,2818
067080,대화제약,KOSDAQ,2816
382900,범한퓨얼셀,KOSDAQ,2799
012860,모베이스전자,KOSDAQ,2790
004980,성신양회,KOSPI,2789
017890,한국알콜,KOSDAQ,2782
241590,화승엔터프라이즈,KOSPI,2781
013890,지누스,KOSPI,2779
417840,저스템,KOSDAQ,2778
035510,신세계 I&C,KOSPI,2776
254490,미래반도체,KOSDAQ,2772
092070,디엔에프,KOSDAQ,2771
011690,와이투솔루션,KOSPI,2771
256840,한국비엔씨,KOSDAQ,2769
267980,매일유업,KOSDAQ,2758
018310,삼목에스폼,KOSDAQ,2753
194700,노바렉스,KOSDAQ,2747
001790,대한제당,KOSPI,2740
469610,이노테크,KOSDAQ,2738
000050,경방,KOSPI,2727
000430,대원강업,KOSPI,2721
043370,피에이치에이,KOSDAQ,2715
321550,티움바이오,KOSDAQ,2713
007160,사조산업,KOSPI,2710
005710,대원산업,KOSDAQ,2707
084680,이월드,KOSPI,2702
190510,나무가,KOSDAQ,2690
134380,미원화학,KOSPI,2689
462860,더즌,KOSDAQ,2688
474170,루미르,KOSDAQ,2685
309710,아이티켐,KOSDAQ,2684
004310,현대약품,KOSPI,2675
216080,제테마,KOSDAQ,2667
338220,뷰노,KOSDAQ,2660
024060,흥구석유,KOSDAQ,2656
182400,엔케이젠바이오텍코리아,KOSDAQ,2654
425040,티이엠씨,KOSDAQ,2653
219130,타이거일렉,KOSDAQ,2652
001130,대한제분,KOSPI,2644
0030R0,대신밸류리츠,KOSPI,2642
405100,큐알티,KOSDAQ,2636
058820,CMG제약,KOSDAQ,2624
013120,동원개발,KOSDAQ,2619
211270,AP위성,KOSDAQ,2619
484810,티엑스알로보틱스,KOSDAQ,2618
402030,코난테크놀로지,KOSDAQ,2616
353810,이지바이오,KOSDAQ,2613
199430,케이엔알시스템,KOSDAQ,2613
095700,제넥신,KOSDAQ,2604
481070,에이유브랜즈,KOSDAQ,2602
234690,녹십자웰빙,KOSDAQ,2600
388050,지투파워,KOSDAQ,2594
176750,듀켐바이오,KOSDAQ,2592
013580,계룡건설,KOSPI,2589
035150,백산,KOSPI,2589
206640,바디텍메드,KOSDAQ,2587
380550,뉴로핏,KOSDAQ,2575
030210,다올투자증권,KOSPI,2570
121800,비덴트,KOSDAQ,2563
299030,하나기술,KOSDAQ,2562
126600,BGF에코머티리얼즈,KOSDAQ,2560
000390,삼화페인트,KOSPI,2557
042600,새로닉스,KOSDAQ,2546
289930,웨이비스,KOSDAQ,2546
033920,무학,KOSPI,2545
001630,종근당홀딩스,KOSPI,2545
348950,제이알글로벌리츠,KOSPI,2544
136490,선진,KOSPI,2539
122900,아이마켓코리아,KOSPI,2537
377460,위니아에이드,KOSDAQ,2531
199820,제일일렉트릭,KOSDAQ,2530
452450,피아이이,KOSDAQ,2529
0011A0,액스비스,KOSDAQ,2524
214180,헥토이노베이션,KOSDAQ,2511
001780,알루코,KOSPI,2507
034810,해성산업,KOSDAQ,2500
371950,풍원정밀,KOSDAQ,2492
221800,유투바이오,KOSDAQ,2485
005500,삼진제약,KOSPI,2481
100120,뷰웍스,KOSDAQ,2480
079960,동양이엔피,KOSDAQ,2479
004430,송원산업,KOSPI,2479
117580,대성에너지,KOSPI,2477
051980,중앙첨단소재,KOSDAQ,2477
950250,테라뷰,KOSDAQ,2472
019010,베뉴지,KOSDAQ,2467
036030,케이티알파,KOSDAQ,2465
417010,나노팀,KOSDAQ,2465
457550,우진엔텍,KOSDAQ,2464
403850,더핑크퐁컴퍼니,KOSDAQ,2461
051360,토비스,KOSDAQ,2459
041020,폴라리스오피스,KOSDAQ,2456
078150,HB테크놀러지,KOSDAQ,2447
065710,서호전기,KOSDAQ,2441
005950,이수화학,KOSPI,2437
244920,에이플러스에셋,KOSPI,2432
298690,에어부산,KOSPI,2431
0004V0,엔비알모션,KOSDAQ,2429
210980,SK디앤디,KOSPI,2416
004560,현대비앤지스틸,KOSPI,2402
285490,노바텍,KOSDAQ,2395
003220,대원제약,KOSPI,2388
009680,모토닉,KOSPI,2386
187870,디바이스,KOSDAQ,2385
028100,동아지질,KOSPI,2384
002150,도화엔지니어링,KOSPI,2380
394420,리센스메디컬,KOSDAQ,2376
018470,조일알미늄,KOSPI,2373
112290,와이씨켐,KOSDAQ,2370
382800,지앤비에스 에코,KOSDAQ,2368
004380,삼익THK,KOSPI,2368
000480,CR홀딩스,KOSPI,2367
083930,아바코,KOSDAQ,2365
260870,SK시그넷,KONEX,2362
484120,도우인시스,KOSDAQ,2361
053210,스카이라이프,KOSPI,2359
950140,잉글우드랩,KOSDAQ,2356
010580,에스엠벡셀,KOSPI,2352
203400,에이비온,KOSDAQ,2351
061090,세나테크놀로지,KOSDAQ,2351
036560,KZ정밀,KOSDAQ,2346
432320,KB스타리츠,KOSPI,2327
289080,SV인베스트먼트,KOSDAQ,2327
004710,한솔테크닉스,KOSPI,2327
095570,AJ네트웍스,KOSPI,2325
036190,금화피에스시,KOSDAQ,2325
123330,제닉,KOSDAQ,2322
039840,디오,KOSDAQ,2322
051905,LG생활건강우,KOSPI,2320
102120,어보브반도체,KOSDAQ,2318
293580,나우IB,KOSDAQ,2316
003547,대신증권2우B,KOSPI,2313
119610,인터로조,KOSDAQ,2305
226320,잇츠한불,KOSPI,2291
474610,RF시스템즈,KOSDAQ,2286
068930,디지털대성,KOSDAQ,2283
115500,케이씨에스,KOSDAQ,2280
297090,씨에스베어링,KOSDAQ,2279
025000,KPX케미칼,KOSPI,2276
237880,클리오,KOSDAQ,2275
270660,에브리봇,KOSDAQ,2274
475230,엔알비,KOSDAQ,2273
016880,웅진,KOSPI,2269
010955,S-Oil우,KOSPI,2264
264450,유비쿼스,KOSDAQ,2259
008490,서흥,KOSPI,2259
158430,아톤,KOSDAQ,2247
007860,서연,KOSPI,2237
259630,엠플러스,KOSDAQ,2237
