기준일,시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
2026-03-27,KOSPI,현대제철,004020,34150,9.3,13.1,6.4,28.1,17.4
2026-03-27,KOSPI,서울보증보험,031210,53500,7.2,8.5,22.6,0.0,16.7
2026-03-27,KOSPI,금호석유화학,011780,123700,-14.2,5.8,12.9,12.8,16.5
2026-03-27,KOSDAQ,지투지바이오,456160,78700,1.4,-6.5,42.9,0.0,16.0
2026-03-27,KOSPI,현대엘리베이터,017800,85300,-9.6,-1.7,8.8,55.1,16.0
2026-03-27,KOSPI,두산밥캣,241560,58900,0.2,6.7,10.3,25.3,15.5
2026-03-27,KOSPI,대한조선,439260,85400,22.7,24.7,-0.6,0.0,14.9
2026-03-27,KOSDAQ,HK이노엔,195940,52100,-7.5,-0.2,8.3,44.7,14.4
2026-03-27,KOSPI,대한항공,003490,25050,7.5,14.6,5.5,6.1,14.2
2026-03-27,KOSPI,카카오페이,377300,52900,-16.6,6.7,-11.5,54.5,13.8
2026-03-27,KOSPI,현대해상,001450,31150,10.7,3.7,11.6,34.0,13.4
2026-03-27,KOSDAQ,필옵틱스,161580,38600,-30.1,-8.9,26.6,1.6,12.5
2026-03-27,KOSDAQ,파크시스템스,140860,252500,-16.8,6.5,-1.2,22.0,12.4
2026-03-27,KOSDAQ,젬백스,082270,40500,-5.9,22.7,-18.8,8.1,11.6
2026-03-27,KOSPI,하이브,352820,299500,-19.9,0.0,4.4,16.3,9.4
2026-03-27,KOSDAQ,셀트리온제약,068760,57800,-20.9,-4.8,14.0,8.6,9.1
2026-03-27,KOSPI,카카오뱅크,323410,24350,6.3,12.5,-1.2,-1.2,7.9
2026-03-27,KOSPI,삼성카드,029780,54000,-4.9,-1.6,6.9,20.1,7.2
2026-03-27,KOSPI,HD현대중공업,329180,489500,-14.9,-8.5,-5.9,65.4,6.3
2026-03-27,KOSPI,한온시스템,018880,3875,18.3,2.9,16.6,-5.9,5.8
2026-03-27,KOSPI,LG씨엔에스,064400,60200,-13.6,3.8,-11.5,24.5,4.9
2026-03-27,KOSDAQ,신성델타테크,065350,58300,-26.9,6.2,-2.8,-20.0,4.9
2026-03-27,KOSPI,LG에너지솔루션,373220,387500,-2.6,-5.0,10.1,10.1,3.6
2026-03-27,KOSPI,삼성에스디에스,018260,155100,-10.4,-8.0,5.3,25.8,3.5
2026-03-27,KOSPI,삼성바이오로직스,207940,1575000,-9.7,-2.0,6.9,-4.1,3.0
2026-03-27,KOSPI,강원랜드,035250,18090,3.7,0.6,0.2,12.6,2.3
2026-03-27,KOSPI,동서,026960,27150,4.4,-0.9,-0.4,15.5,1.3
2026-03-27,KOSPI,HD한국조선해양,009540,361000,-12.7,-12.0,-11.2,68.7,1.1
2026-03-27,KOSDAQ,세미파이브,490470,27350,-3.9,0.0,0.0,0.0,0.8
2026-03-27,KOSPI,LG화학,051910,314000,1.1,-16.0,13.2,33.9,0.3
2026-03-27,KOSDAQ,에임드바이오,0009K0,53600,-1.7,0.0,0.0,0.0,0.3
2026-03-27,KOSDAQ,리브스메드,491000,75900,-0.1,0.0,0.0,0.0,0.0
2026-03-27,KOSDAQ,아이엠바이오로직스,493280,75200,0.0,0.0,0.0,0.0,0.0
2026-03-27,KOSPI,SK이노베이션,096770,110800,-1.1,-3.7,9.8,-11.9,-0.2
2026-03-27,KOSDAQ,휴젤,145020,259000,-6.3,13.3,-17.9,-18.3,-0.7
