기준일(월말),시장,종목명,종목코드,기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어,다음달수익률(%)
2026-03-27,NASDAQ,Broadcom Inc,AVGO,309.42,-3.82,-12.13,-7.51,72.6,1.83,
2026-03-27,NASDAQ,NVIDIA Corp,NVDA,171.24,-7.38,-10.12,-3.9,50.53,1.53,
2026-03-27,NYSE,General Electric Co,GE,285.24,-16.31,-9.49,-3.3,37.55,1.53,
2026-03-27,NYSE,McDonald's Corp,MCD,308.93,-7.65,-0.56,1.21,-1.48,1.39,
2026-03-27,NYSE,Morgan Stanley,MS,163.23,-8.03,-10.25,1.95,33.58,1.1,
2026-03-27,NASDAQ,Arch Capital Group Ltd,ACGL,94.12,-5.55,-1.83,3.57,-1.89,1.05,
2026-03-27,NASDAQ,Airbnb Inc,ABNB,131.06,-4.31,-4.21,5.95,1.88,0.85,
2026-03-27,NASDAQ,Fifth Third Bancorp,FITB,45.41,-12.62,-6.2,-0.04,13.04,0.15,
2026-03-27,NASDAQ,Cincinnati Financial Corp,CINF,157.55,-4.63,-4.39,0.42,7.55,-0.87,
2026-03-27,NASDAQ,Comcast Corp,CMCSA,28.72,-6.9,3.32,-3.39,-18.0,-1.26,
2026-03-27,NYSE,Arista Networks Inc,ANET,122.55,-5.91,-7.05,-14.0,50.07,-1.44,
2026-03-27,NASDAQ,Dexcom Inc,DXCM,66.09,-11.15,-2.19,-1.51,-8.37,-1.95,
2026-03-27,NASDAQ,Mondelez International Inc,MDLZ,57.58,-3.94,5.38,-9.12,-13.19,-2.11,
2026-03-27,NYSE,Charles Schwab Corp,SCHW,94.47,-3.13,-7.28,-1.04,17.88,-2.14,
2026-03-27,NASDAQ,Apple Inc,AAPL,252.89,-7.35,-7.5,-1.01,14.16,-2.2,
2026-03-27,NASDAQ,Ryanair Holdings PLC ADR,RYAAY,60.69,-12.84,-17.67,5.02,33.65,-2.33,
2026-03-27,NYSE,Royal Caribbean Cruises Ltd,RCL,274.0,-14.09,-4.09,-16.18,24.62,-3.61,
2026-03-27,NYSE,Sherwin-Williams Co,SHW,319.55,-11.36,-1.81,-6.54,-7.22,-3.89,
2026-03-27,NASDAQ,Sanofi SA ADR,SNY,46.62,-3.58,-3.82,2.37,-14.46,-4.04,
2026-03-27,NYSE,Lowe's Companies Inc,LOW,236.03,-10.73,-3.46,-8.2,1.72,-4.38,
2026-03-27,NYSE,Procter & Gamble Co,PG,142.42,-13.03,-1.6,-6.61,-14.5,-4.88,
