시장,종목명,종목코드,기준일(월말),기준가,1개월(%),3개월(%),6개월(%),12개월(%),모멘텀스코어
KOSDAQ,젬백스,082270,2026-02-28,46600,8.25,41.21,-6.52,24.43,32.95
KOSDAQ,성광벤드,014620,2026-02-28,35000,7.2,33.59,4.63,25.9,32.93
KOSPI,한온시스템,018880,2026-02-28,4640,41.68,23.24,39.63,12.7,32.61
KOSDAQ,신성델타테크,065350,2026-02-28,70200,-11.92,27.87,17.0,-3.7,32.44
KOSDAQ,인카금융서비스,211050,2026-02-28,14050,-11.3,-10.11,20.19,139.76,32.22
KOSPI,KT&G,033780,2026-02-28,163100,5.98,12.1,21.08,65.92,32.21
KOSPI,한전KPS,051600,2026-02-28,62000,10.71,16.32,23.26,47.79,32.1
KOSPI,대한항공,003490,2026-02-28,28100,20.6,28.6,18.32,19.07,31.73
KOSDAQ,티에프이,425420,2026-02-28,42600,10.08,-6.99,12.55,162.8,31.23
KOSPI,두산밥캣,241560,2026-02-28,65000,10.54,17.75,21.72,38.3,30.62
KOSPI,삼성카드,029780,2026-02-28,63000,10.92,14.75,24.75,40.16,30.03
KOSDAQ,쏠리드,050890,2026-02-28,8410,-1.06,11.98,32.23,18.95,29.71
KOSDAQ,펩트론,087010,2026-02-28,285000,-6.71,-16.18,-7.92,224.23,29.29
KOSDAQ,태광,023160,2026-02-28,28150,-1.23,23.46,11.93,18.28,28.64
KOSPI,현대해상,001450,2026-02-28,34350,22.02,14.31,23.12,47.74,28.15
KOSPI,서울보증보험,031210,2026-02-28,58300,16.83,18.26,33.56,0.0,28.02
KOSPI,LG디스플레이,034220,2026-02-28,14340,22.88,14.35,19.5,56.72,28.0
KOSDAQ,에스티큐브,052020,2026-02-28,8930,12.19,20.68,19.71,14.49,26.85
KOSDAQ,테크윙,089030,2026-02-28,46600,-6.8,-1.06,42.51,23.28,26.42
KOSDAQ,오스코텍,039200,2026-02-28,52300,-5.94,-15.65,42.31,78.8,25.59
KOSPI,에스원,012750,2026-02-28,87800,10.3,17.07,9.61,43.93,25.19
KOSPI,삼성화재,000810,2026-02-28,530000,5.79,10.07,19.37,38.56,24.3
KOSPI,LG유플러스,032640,2026-02-28,16540,3.38,9.83,11.38,56.33,24.14
KOSPI,카카오뱅크,323410,2026-02-28,27150,18.56,25.4,10.14,10.14,23.71
KOSPI,엔씨소프트,036570,2026-02-28,231000,-1.49,10.0,13.79,35.8,22.36
KOSPI,삼성바이오로직스,207940,2026-02-28,1778000,1.89,10.64,20.69,8.25,20.13
KOSDAQ,HLB,028300,2026-02-28,51800,-6.67,10.45,37.22,-41.99,19.9
KOSPI,SK이노베이션,096770,2026-02-28,127700,14.02,11.04,26.56,1.59,19.63
KOSPI,NAVER,035420,2026-02-28,254500,-7.45,4.3,18.65,22.95,18.85
